
Organisation for Economic Co-operation and Development 

OECD Existing Chemicals Database
	
Click on an item ...

    Home
    Search
    SIDS contacts
    Sponsored chemicals
    Category chemicals
    Help

 
Reports

    Overall Status
    All Sponsored Substances
    Publications

 

	
List of all chemicals

CAS number	Chemical Name	Synonyms
80-07-9	Sulfone, bis(p-chlorophenyl)	Bis(4-chlorophenyl)sulfone
80-09-1	Phenol, 4,4'-sulfonylbis-	Phenol, 4,4'-sulfonylbis-
80-10-4	Silane, dichlorodiphenyl-	 
80-15-9	Hydroperoxide, 1-methyl-1-phenylethyl-	Dimethylbenzyl hydroperoxide
80-26-2	Terpinyl acetate	 
80-43-3	Peroxide, bis(1-methyl-1-phenylethyl)-	Dicumyl peroxide
80-46-6	Phenol, p-tert-pentyl-	Phenol, 4-(1,1-dimethylpropyl)-
80-51-3	Benzenesulfonic acid, 4,4'-oxybis-, dihydrazide	 
80-54-6	Propionaldehyde, 2-(4-tert-Butylbenzyl)-	Lilial
80-56-8	2-Pinene	Bicyclo[3.1.1]hept-2-ene, 2,6,6-trimethyl-
80-62-6	Methacrylate, methyl-	2-Methyl-2-propenoic acid methyl ester
81-04-9	Naphthalene-1,5-disulphonic acid	 
81-11-8	4,4'-Diaminostilbene-2,2'-disulfonic acid	4,4'-Diamino-2,2'-stilbenedisulfonic acid
81-13-0	Dexpanthenol	 
81-14-1	4-tert-Butyl-2,6-dimethyl-3,5-dinitroacetophenone (Musk ketone)	4-t-butyl-2,6-dimethyl-3,5-dinitroacetophenone mask ketone
81-15-2	5-tert-Butyl-2,4,6-trinitro-m-xylene (Musk xylene)	5-t-butyl-2,4,6-trinitro-m-xylene
81-16-3	1-Naphthalenesulfonic acid, 2-amino-	2-Aminonaphthalene-1-sulphonic acid
81-64-1	Anthraquinone, 1,4-dihydroxy-	1,4-dihydroxyanthraquinone
81-77-6	6,15-Dihydroanthrazine-5,9,14,18-tetrone	 
81-84-5	Naphthalic anhydride	1H,3H-Naphtho[1,8-cd]pyran-1,3-dione
82-05-3	Benzanthrone	 
82-45-1	Anthraquinone, 1-amino-	1-Amino anthraquinone
83-32-9	Acenaphthylene, 1,2-dihydro-	Acenaphthene
83-56-7	1,5-Naphthalenediol	 
83-62-5	1-Amino-9,10-dihydro-9,10-dioxoanthracene-2-sulphonic acid	1-Amino-9,10-dihydro-9,10-dioxoanthracene-2-sulpho
83-67-0	Theobromine	 
83-88-5	Riboflavin	 
84-51-5	Anthraquinone, 2-ethyl-	 
84-61-7	Dicyclohexyl phthalate	1,3-Benzenedicarboxylic acid, dicyclohexyl ester
84-65-1	9,10-Anthracenedione	Anthraquinone
84-66-2	Diethyl phthalate	1,2-Benzenedicarboxylic acid, diethyl ester
84-69-5	Di-iso-Butyl phthalate	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester
84-74-2	Dibutyl phthalate	1,2-Benzenedicarboxylic acid, dibutyl ester
85-40-5	Phthalimide, 1,2,3,6-tetrahydro-	1H-Isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-
85-41-6	Phthalimide	1H-Isoindole-1,3(2H)-dione
85-42-7	1,3-Isobenzofurandione, hexahydro-	1,2-Cyclohexanedicarboxylic anhydride
85-43-8	3a,4,7,7a-Tetrahydro-1,3-isobenzofurandione	4-Cyclohexene-1,2-dicarboxylic anhydride
85-44-9	1,3-Isobenzofurandione	Phthalic anhydride
85-56-3	Benzoic acid, 2-(4-chlorobenzoyl)-	 
85-68-7	Butyl benzyl phthalate	1,2-Benzenedicarboxylic acid, butyl phenylmethyl ester
85-86-9	2-Naphthalenol, 1-[[4-(phenylazo)phenyl]azo]-	 
86-50-0	Azinpho, methyl-	 
86-57-7	Naphthalene, 1-nitro-	1-Nitronaphthalene
86-74-8	Carbazole	 
87-02-5	7-Amino-4-hydroxy-2-naphthalenesulfonic acid	 
87-56-9	Mucochloric acid	2-Butenoic acid, 2,3-dichloro-4-oxo-, (2Z)-
87-59-2	2,3-Dimethylaniline	 
87-62-7	Aniline, 2,6-dimethyl-	 
87-67-2	Ethanaminium, 2-hydroxy-N,N,N-trimethyl-, (2R,3R)-2,3-dihydroxybutanedioate (1:1)	 
87-69-4	Butanedioic acid, 2,3-dihydroxy- [R-(R*,R*)]-	 
87-90-1	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-trichloro-	Trichloro-S-triazinetrione
87-99-0	Xylitol	 
88-06-2	Phenol, 2,4,6-trichloro-	2,4,6-Trichlorophenol
88-09-5	Butanoic acid, 2-ethyl	 
88-12-0	N-Vinyl-pyrrolidinone	2-Pyrrolidinone, 1-ethenyl-
88-18-6	Phenol, 2-(1,1-dimethylethyl)-	 
88-19-7	o-Toluenesulfonamide	Benzenesulfonamide, 2-methyl-
88-41-5	Cyclohexanol, 2-(1,1-dimethylethyl)-, acetate	 
88-44-8	m-Toluenesulfonic acid, 6-amino-	Benzenesulfonic acid, 2-amino-5-methyl-
88-53-9	5-Amino-2-chlorotoluene-4-sulphonic acid	2-Amino-5-chloro-4-methylbenzenesulfonic acid
88-60-8	m-Cresol, 6-tert-butyl-	Phenol, 2-(1,1-dimethylethyl)-5-methyl-
88-61-9	2,4-Dimethylbenzenesulfonic acid	 
