CAS #	Substance Name	Retired CAS #s	Incorrect CAS #s
5064-31-3	Glycine, N,N-bis(carboxymethyl)-, sodium salt (1:3)	2569049-56-3, 37291-81-9	
67762-37-2	Fatty acids, C8-18 and C18-unsatd., Me esters		
68955-33-9	Gases (petroleum), sponge absorber off, fluidized catalytic cracker and gas oil desulfurizer overhead fractionation		
68607-30-7	Residues (petroleum), topping plant, low-sulfur		
17611-82-4	Butanedinitrile, 2-ethyl-		
67762-39-4	Fatty acids, C6-12, Me esters	37205-85-9, 37244-70-5	
68955-35-1	Naphtha (petroleum), catalytic reformed		
12075-68-2	Aluminum, di-.mu.-chlorochlorotriethyldi-	132071-39-7, 22853-46-9, 33075-37-5, 55949-15-0, 8065-64-3, 8067-60-5	
71-41-0	1-Pentanol		
23251-72-1	Ethanol, 2,2'-iminobis-, acetate (1:1)	29867-98-9	
23275-26-5	1-Hexanol, aluminum salt (3:1)	34623-61-5	
68955-37-3	Acid chlorides, tallow, hydrogenated		
41638-55-5	1,1'-Biphenyl, butyl-		
68955-36-2	Residues (petroleum), steam-cracked, resinous		
96-69-5	Phenol, 4,4'-thiobis[2-(1,1-dimethylethyl)-5-methyl-	126340-60-1, 12671-70-4, 188253-47-6, 381726-02-9, 52012-53-0, 60318-32-3, 76996-60-6, 914648-51-4	
67762-40-7	Fatty acids, C10-16, Me esters		
67762-44-1	Fatty acids, C6-12, sodium salts		
106-93-4	Ethane, 1,2-dibromo-	56729-21-6, 625084-37-9, 8003-07-4	
579-66-8	Benzenamine, 2,6-diethyl-	1123533-25-4	
681-84-5	Silicic acid (H4SiO4), tetramethyl ester	12547-31-8	
67762-41-8	Alcohols, C10-16	189021-36-1	
3399-22-2	1,4-Cyclohexanedicarboxylic acid, 1,4-dimethyl ester, trans-		
70131-50-9	Bentonite, acid-leached		
68439-30-5	Oxirane, 2-methyl-, polymer with oxirane, 8-methylnonyl ether	920741-16-8	
67762-52-1	Carboxylic acids, C5-9, hexaesters with dipentaerythritol		
5089-70-3	Silane, (3-chloropropyl)triethoxy-	1604842-30-9, 2098694-49-4	
1702-17-6	2-Pyridinecarboxylic acid, 3,6-dichloro-		
96-76-4	Phenol, 2,4-bis(1,1-dimethylethyl)-	50356-26-8, 652152-53-9	
83-41-0	Benzene, 1,2-dimethyl-3-nitro-		
134-20-3	Benzoic acid, 2-amino-, methyl ester		
374-07-2	Ethane, 1,1-dichloro-1,2,2,2-tetrafluoro-	306-83-2	
41663-84-7	1H-Isoindole-1,3(2H)-dione, 2-methyl-5-nitro-		
26183-52-8	Poly(oxy-1,2-ethanediyl), .alpha.-decyl-.omega.-hydroxy-	124449-60-1, 184306-23-8, 2101835-93-0, 220880-96-6, 32168-77-7, 32238-49-6, 503027-84-7, 635727-49-0, 70595-16-3, 848146-74-7, 85946-32-3	
71-43-2	Benzene	1053658-43-7, 1173023-23-8, 174973-66-1, 54682-86-9	
67762-53-2	Carboxylic acids, C5-9, tetraesters with pentaerythritol		
68515-75-3	Hexanedioic acid, di-C7-9-branched and linear alkyl esters		
68955-53-3	Amines, C12-14-tert-alkyl		
683-18-1	Stannane, dibutyldichloro-		
35074-77-2	Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, 1,1'-(1,6-hexanediyl) ester	189251-73-8	
12108-13-3	Manganese, tricarbonyl[(1,2,3,4,5-.eta.)-1-methyl-2,4-cyclopentadien-1-yl]-	41536-42-9	
67762-55-4	Alkenes, C15-18 .alpha.-, sulfurized		
1704-62-7	Ethanol, 2-[2-(dimethylamino)ethoxy]-	136363-88-7, 1985590-30-4, 314270-53-6	
68132-46-7	Fatty acids, tall-oil, compds. with triethanolamine	66071-91-8	
72252-48-3	Benzoic acid, 3-[2-chloro-4-(trifluoromethyl)phenoxy]-, potassium salt (1:1)		
53894-23-8	1,2,4-Benzenetricarboxylic acid, 1,2,4-triisononyl ester	131918-42-8, 154213-92-0	
5102-83-0	Butanamide, 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(2,1-diazenediyl)]bis[N-(2,4-dimethylphenyl)-3-oxo-	108563-17-3, 1264-07-9, 12642-91-0, 1859910-22-7, 196522-51-7, 61614-29-7	
115-07-1	1-Propene	33004-01-2, 676-63-1	
71-48-7	Acetic acid, cobalt(2+) salt (2:1)	2113640-18-7, 256431-41-1, 2649269-82-7, 33327-32-1, 68279-06-1, 73005-84-2	
581-42-0	Naphthalene, 2,6-dimethyl-		
6632-68-4	2,4(1H,3H)-Pyrimidinedione, 6-amino-1,3-dimethyl-5-nitroso-		
85507-79-5	1,2-Benzenedicarboxylic acid, 1,2-diundecyl ester, branched and linear		
68515-89-9	Barium, carbonate nonylphenol complexes		
114651-37-5	Cyclohexanemethanol, 4-[(ethenyloxy)methyl]-		
68515-88-8	Pentene, 2,4,4-trimethyl-, sulfurized		
12113-07-4	Borate(1-), hydroxytriphenyl-, sodium (1:1), (T-4)-	71002-45-4, 824424-36-4	
2487-90-3	Silane, trimethoxy-		
582-25-2	Benzoic acid, potassium salt (1:1)		
97-00-7	Benzene, 1-chloro-2,4-dinitro-		
106-97-8	Butane		
115-10-6	Methane, 1,1'-oxybis-	157621-61-9, 451449-67-5	
68607-67-0	Schiff bases, C11-14-tert-alkyl methylene		
3425-61-4	Hydroperoxide, 1,1-dimethylpropyl		
68955-64-6	Hexanedinitrile, hydrogenated, high-boiling fraction, phosphonomethylated	70750-26-4	
68515-93-5	Phenol, nonyl derivs., sulfides		
97-02-9	Benzenamine, 2,4-dinitro-	1309774-70-6	
106-98-9	1-Butene	1735-75-7, 25167-67-3, 33004-02-3, 54366-07-3	
71-55-6	Ethane, 1,1,1-trichloro-	74552-83-3	
115-11-7	1-Propene, 2-methyl-		
67762-72-5	2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[(2-aminoethyl)amino]ethyl]amino]ethyl]amino]ethyl]-, monopolyisobutenyl derivs.		
68516-01-8	Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters		
67762-77-0	2,5-Furandione, dihydro-, monopolyisobutylene derivs.	68611-01-8	
134-62-3	Benzamide, N,N-diethyl-3-methyl-	94271-03-1	
26248-24-8	Benzenesulfonic acid, tridecyl-, sodium salt (1:1)	139878-54-9	
68955-76-0	Aromatic hydrocarbons, C9-16, biphenyl deriv.-rich		
67762-79-2	2,5-Furandione, dihydro-, monopolybutenyl derivs.	68441-15-6	
6651-25-8	Aluminum, tridocosyl-		
29329-71-3	Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, sodium salt (1:?)	1338481-54-1	
68607-87-4	Soaps, stocks, acidulated		
106-99-0	1,3-Butadiene	1213224-27-1, 130983-70-9, 183592-61-2, 25339-57-5	
1709-70-2	Phenol, 4,4',4''-[(2,4,6-trimethyl-1,3,5-benzenetriyl)tris(methylene)]tris[2,6-bis(1,1-dimethylethyl)-	1224882-68-1, 1585209-79-5, 2003973-91-7, 357341-49-2, 58968-88-0, 681145-04-0, 90651-36-8, 99346-90-4	
115-19-5	3-Butyn-2-ol, 2-methyl-	140705-79-9, 67539-62-2, 946073-41-2	
6651-26-9	Aluminum, tritetracosyl-		
17689-77-9	Silanetriol, 1-ethyl-, 1,1,1-triacetate	862207-18-9	
23386-52-9	Butanedioic acid, 2-sulfo-, 1,4-dicyclohexyl ester, sodium salt (1:1)	1233331-39-9	
107-00-6	1-Butyne		
115-21-9	Silane, trichloroethyl-		
6651-27-0	Aluminum, trioctacosyl-		
2492-26-4	2(3H)-Benzothiazolethione, sodium salt (1:1)	106691-70-7, 1208900-17-7, 1357581-00-0, 26249-01-4	
68439-57-6	Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts		
68955-83-9	Fatty acids, C9-13-neo-, cobalt salts		
5124-30-1	Cyclohexane, 1,1'-methylenebis[4-isocyanato-	103072-21-5, 107314-16-9, 1081805-58-4, 123773-48-8, 190601-97-9, 201536-77-8, 218459-95-1, 2368816-71-9, 280144-17-4, 68966-63-2, 73156-15-7, 88504-76-1	
107-01-7	2-Butene	1735-76-8	
