CAS #	Substance Name	Retired CAS #s	Incorrect CAS #s
124-63-0	Methanesulfonyl chloride	2101638-66-6	
627-93-0	Hexanedioic acid, 1,6-dimethyl ester	111366-61-1	
1497-68-3	Phosphonochloridothioic acid, P-ethyl-, O-ethyl ester	13547-40-5	
111-20-6	Decanedioic acid	3038344-70-3	
79-01-6	Ethene, 1,1,2-trichloro-	52037-46-4	
1498-51-7	Phosphorodichloridic acid, ethyl ester		
104-38-1	Ethanol, 2,2'-[1,4-phenylenebis(oxy)]bis-	2305770-85-6	
25550-98-5	Phosphorous acid, diisodecyl phenyl ester	174594-30-0, 28930-03-2	
16530-72-6	Octanoic acid, compd. with 2,2'-iminobis[ethanol] (1:1)	101969-71-5	
111-21-7	Ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis-, 1,1'-diacetate		
68411-58-5	2,5-Furandione, 3-(dodecen-1-yl)dihydro-, reaction products with propylene oxide		
4475-95-0	Butanenitrile, 2-amino-2-methyl-		
628-13-7	Pyridine, hydrochloride (1:1)	1089313-48-3	
21245-02-3	Benzoic acid, 4-(dimethylamino)-, 2-ethylhexyl ester	127361-11-9, 676261-74-8	
72030-26-3	Cyclopentene, hexachloro-		
301-10-0	Hexanoic acid, 2-ethyl-, tin(2+) salt (2:1)	2417629-16-2, 75831-41-3	
111-26-2	1-Hexanamine	85404-23-5	
124-68-5	1-Propanol, 2-amino-2-methyl-	189832-99-3, 2376634-60-3, 471883-87-1	
94-60-0	1,4-Cyclohexanedicarboxylic acid, 1,4-dimethyl ester		
124-70-9	Silane, dichloroethenylmethyl-	66062-55-3	
104-43-8	Phenol, 4-dodecyl-		
79-04-9	Acetyl chloride, 2-chloro-	1256778-77-4	
68814-67-5	Gases (petroleum), refinery		
25564-22-1	2-Cyclopenten-1-one, 2-pentyl-		
39515-51-0	Benzaldehyde, 3-phenoxy-		
68937-64-4	Alcohols, C2-20, aluminum salts		
21265-50-9	Ferrate(1-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, ammonium (1:1), (OC-6-21)-	11087-25-5, 142340-43-0, 1644065-20-2, 192319-44-1	
104-46-1	Benzene, 1-methoxy-4-(1-propen-1-yl)-	12002-40-3, 8022-08-0	
111-27-3	1-Hexanol	220713-27-9	
68937-68-8	Carboxylic acids, C1-5		
52556-42-0	1-Propanesulfonic acid, 2-hydroxy-3-(2-propen-1-yloxy)-, sodium salt (1:1)	1204612-62-3, 167415-42-1, 63116-94-9	
68411-72-3	Ethane, chloro derivs.	68583-57-3, 68909-11-5	
542-92-7	1,3-Cyclopentadiene	2351150-22-4, 26912-33-4	
68937-69-9	Carboxylic acids, C6-18 and C5-15-di-		
68937-71-3	Carboxylic acids, C6-18 and C8-15-di-, hydrogenated		
33125-86-9	Phosphoric acid, P,P'-1,2-ethanediyl P,P,P',P'-tetrakis(2-chloroethyl) ester	53637-26-6	
68937-70-2	Carboxylic acids, C6-18 and C8-15-di-		
79-06-1	2-Propenamide	1198293-68-3, 2949426-45-1	
68937-73-5	Carboxylic acids, di-, C6-12, compds. with ethanolamine (1:2)		
111-30-8	Pentanedial	107950-89-0, 1428979-54-7, 1497435-71-8, 37245-61-7, 79215-57-9	
68937-72-4	Carboxylic acids, di-, C4-11		
25584-83-2	2-Propenoic acid, monoester with 1,2-propanediol	108114-39-2, 110608-37-2, 1202865-35-7, 177564-71-5, 198351-78-9, 204013-22-9, 27985-80-4, 457899-96-6, 50984-64-0, 50985-29-0, 56084-03-8, 71551-14-9, 79896-87-0, 91313-64-3	
68411-76-7	Cyclohexane, oxidized, non-volatile residue		
543-39-5	7-Octen-2-ol, 2-methyl-6-methylene-		
21351-39-3	Urea, sulfate (1:1)		
68937-75-7	Fatty acids, C8-10	2304789-46-4, 58253-02-4	
9000-70-8	Gelatins	239074-97-6, 39340-57-3, 8052-24-2, 9013-63-2, 945651-70-7, 97343-33-4	
628-63-7	Acetic acid, pentyl ester		
68814-87-9	Distillates (petroleum), full-range straight-run middle		
28188-24-1	Octadecanoic acid, 1,1'-[2-(hydroxymethyl)-2-[[(1-oxooctadecyl)oxy]methyl]-1,3-propanediyl] ester		
68814-90-4	Gases (petroleum), platformer products separator off		
68937-77-9	Fatty acids, C14-18-branched and linear	85005-24-9	
94-74-6	Acetic acid, 2-(4-chloro-2-methylphenoxy)-	11111-13-0, 11111-14-1, 127289-40-1, 50926-55-1, 57425-61-3	
111-36-4	Butane, 1-isocyanato-		
126-06-7	2,4-Imidazolidinedione, 3-bromo-1-chloro-5,5-dimethyl-		
68411-81-4	2-Imidazolidinone, 4,5-dihydroxy-1,3-bis(hydroxymethyl)-, methylated	68784-42-9	
104-55-2	2-Propenal, 3-phenyl-		
68937-76-8	Fatty acids, C16-20	609343-71-7	
70955-03-2	Hexene, hydroformylation products, low-boiling		
126-11-4	1,3-Propanediol, 2-(hydroxymethyl)-2-nitro-		
25586-42-9	Phosphorous acid, tris(methylphenyl) ester		
68937-78-0	Fatty acids, C16-20 and C18-unsatd.		
999-97-3	Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-	103737-28-6, 116638-29-0, 127290-38-4, 18186-75-9, 761458-30-4	
68411-90-5	Hexanedinitrile, hydrogenated, high-boiling fraction	68511-79-5	
68814-95-9	Amines, tri-C8-10-alkyl	216767-66-7, 39421-47-1, 51142-05-3, 75139-52-5	
68937-83-7	Fatty acids, C6-10, Me esters	1312613-77-6	
7580-31-6	Hexanoic acid, 2-ethyl-, nickel salt (1:?)		
68937-81-5	Fatty acids, C18 and C18-unsatd., Me esters		
70955-04-3	Hexene, hydroformylation products, high-boiling		
28205-96-1	2-Propenoic acid, 2-methyl-, polymer with 2-propenoic acid, sodium salt		
79-09-4	Propanoic acid	1032826-44-0, 784139-72-6	
68937-84-8	Fatty acids, C12-18, Me esters		
70955-08-7	Alkanes, C4-6		
104-66-5	Benzene, 1,1'-[1,2-ethanediylbis(oxy)]bis-		
126-30-7	1,3-Propanediol, 2,2-dimethyl-	111109-35-4	
94-75-7	Acetic acid, 2-(2,4-dichlorophenoxy)-	15183-39-8	
111-40-0	1,2-Ethanediamine, N1-(2-aminoethyl)-	1078151-43-5, 1380230-30-7, 1801663-13-7, 203009-17-0, 26915-78-6, 419553-44-9, 53303-76-7, 54018-92-7, 59135-90-9, 73989-30-7, 8076-55-9, 859039-00-2, 94700-17-1, 98824-35-2	
68937-86-0	Fatty acids, coco, light fractions		
70955-11-2	Hexene, hydroformylation products	68515-74-2	
3132-99-8	Benzaldehyde, 3-bromo-	2222571-80-2, 2377515-68-7	
62-23-7	Benzoic acid, 4-nitro-	29788-29-2	
111-41-1	Ethanol, 2-[(2-aminoethyl)amino]-	51251-98-0	
68937-85-9	Fatty acids, coco, heavy fractions		
68586-07-2	Boric acid (H3BO3), compd. with 2-aminoethanol (1:1)		
7585-41-3	2-Naphthalenecarboxylic acid, 4-[2-(5-chloro-4-methyl-2-sulfophenyl)diazenyl]-3-hydroxy-, barium salt (1:1)	12238-27-6, 12238-29-8, 12238-76-5, 2262542-73-2, 37982-97-1	
544-17-2	Formic acid, calcium salt (2:1)	1312710-55-6	
79-10-7	2-Propenoic acid	1265528-53-7, 1453489-99-0, 1644624-02-1, 166941-59-9, 1703019-10-6, 1873349-31-5, 2015239-27-5, 211862-52-1, 2133361-51-8, 2949426-46-2, 55927-87-2	
68937-90-6	Fatty acids, C18-unsatd., trimers	58449-70-0	
628-96-6	1,2-Ethanediol, 1,2-dinitrate	121749-11-9	
126-33-0	Thiophene, tetrahydro-, 1,1-dioxide	208252-54-4	
1000-82-4	Urea, N-(hydroxymethyl)-	50-00-0	
70955-17-8	Aromatic hydrocarbons, C12-20		
13749-94-5	Ethanimidothioic acid, N-hydroxy-, methyl ester		
68412-04-4	1,6-Octadiene, 7-methyl-3-methylene-, acetylated		
111-42-2	Ethanol, 2,2'-iminobis-	1357848-47-5, 165126-26-1, 2122854-14-0, 8033-73-6	
1529-57-3	Aluminum, trieicosyl-		
68937-96-2	Polysulfides, di-tert-Bu	1021171-50-5	
13752-51-7	4-Morpholinecarbodithioic acid, 4-morpholinyl ester	57018-26-5	
104-75-6	1-Hexanamine, 2-ethyl-	114272-35-4	
4518-98-3	Disilane, 1,1,2,2-tetrachloro-1,2-dimethyl-	12192-38-0	
68602-79-9	Distillates (petroleum), benzene unit hydrotreater dipentanizer overheads		
68938-00-1	Terpenes and Terpenoids, turpentine-oil residues		
79-11-8	Acetic acid, 2-chloro-		
126-57-8	Nonanoic acid, 1,1'-[2-ethyl-2-[[(1-oxononyl)oxy]methyl]-1,3-propanediyl] ester	61461-93-6, 850871-56-6, 88426-26-0	
126-58-9	1,3-Propanediol, 2,2'-[oxybis(methylene)]bis[2-(hydroxymethyl)-	106496-91-7, 110369-41-0, 115986-73-7, 165075-04-7	
1002-62-6	Decanoic acid, sodium salt (1:1)		
1529-58-4	Aluminum, tritetradecyl-		
68938-02-3	Pentene, hydroformylation products, low-boiling		
629-11-8	1,6-Hexanediol	140434-69-1	
68602-81-3	Distillates, hydrocarbon resin prodn. higher boiling		
1529-59-5	Aluminum, tridodecyl-		
1002-69-3	Decane, 1-chloro-		
52663-57-7	Ethanol, 2-butoxy-, sodium salt (1:1)		
79-14-1	Acetic acid, 2-hydroxy-	1033720-45-4, 1033720-48-7, 259744-22-4, 702627-33-6	
68602-80-2	Distillates (petroleum), C12-30-arom.		
104-76-7	1-Hexanol, 2-ethyl-	111675-57-1, 2360922-23-0	
68938-04-5	Nonene, hydroformylation products		
25619-56-1	Naphthalenesulfonic acid, dinonyl-, barium salt (2:1)	1434867-66-9, 27195-98-8, 84843-17-4	
1002-89-7	Octadecanoic acid, ammonium salt (1:1)		
68602-82-4	Gases (petroleum), benzene unit hydrotreater depentenizer overheads		
544-63-8	Tetradecanoic acid	45184-05-2	
68938-03-4	Octene, hydroformylation products, low-boiling		
68602-84-6	Gases (petroleum), secondary absorber off, fluidized catalytic cracker overheads fractionater		
68511-40-0	1-Propanamine, 3-(tridecyloxy)-, branched	68909-28-4	
68602-83-5	Gases (petroleum), C1-5, wet		
111-44-4	Ethane, 1,1'-oxybis[2-chloro-	52438-91-2, 92091-28-6	
68511-44-4	Propanenitrile, 3-amino-, N-(C14-18 and C16-18-unsatd. alkyl) derivs.		
544-76-3	Hexadecane		
68938-07-8	Fatty acids, C9-13-neo-		
3147-75-9	Phenol, 2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)-	108021-89-2, 123307-21-1, 131242-52-9, 134018-56-7, 1395785-95-1, 149780-04-1, 1502813-89-9, 1687727-77-0, 188025-34-5, 2305191-21-1, 31016-94-1, 51656-56-5, 52188-76-8, 862695-39-4, 866032-39-5	
68602-85-7	Hydrocarbon waxes (petroleum), oxidized, Me esters		
306-83-2	Ethane, 2,2-dichloro-1,1,1-trifluoro-		
7620-77-1	Octadecanoic acid, 12-hydroxy-, lithium salt (1:1)	10294-14-1	
6358-31-2	Butanamide, 2-[2-(2-methoxy-4-nitrophenyl)diazenyl]-N-(2-methoxyphenyl)-3-oxo-	1309890-04-7, 1310364-80-7, 1319008-82-6, 15792-29-7, 2042162-83-2, 2088336-99-4, 2108678-62-0, 2641787-09-7, 57769-75-2, 68859-59-6, 807629-76-1, 865089-22-1, 885613-63-8, 904293-27-2, 904293-28-3, 95660-49-4, 96352-24-8	
16712-64-4	2-Naphthalenecarboxylic acid, 6-hydroxy-		
79-20-9	Acetic acid, methyl ester	1800084-97-2	
68815-50-9	Octadecanoic acid, reaction products with 2-[(2-aminoethyl)amino]ethanol		
94-96-2	1,3-Hexanediol, 2-ethyl-	1321-34-2	
68815-56-5	Poly(oxy-1,2-ethanediyl), .alpha.-(3-carboxy-1-oxosulfopropyl)-.omega.-hydroxy-, C10-16-alkyl ethers, disodium salts		
3149-68-6	D-Glucopyranoside, methyl	26264-15-3, 7539-03-9	
68938-15-8	Fatty acids, coco, hydrogenated	8045-29-2	
68511-50-2	1-Propene, 2-methyl-, sulfurized		
111-46-6	Ethanol, 2,2'-oxybis-	2126734-27-6, 4669-26-5	
62-53-3	Benzenamine	146997-94-6, 1533423-51-6, 1582784-51-7, 1619933-02-6, 37342-16-8	
68412-29-3	Starch, hydrolyzed		
126-73-8	Phosphoric acid tributyl ester	1238174-19-0, 15158-85-7, 19824-61-4, 329184-61-4, 80094-39-9	
307-35-7	1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-		
81846-81-3	1,1'-Biphenyl, butenylated		
68603-01-0	Distillates (petroleum), thermal cracked naphtha and gas oil, C5-dimer-contg.		
63133-74-4	Acetonitrile, 2-[ethyl(3-methylphenyl)amino]-		
68412-37-3	Silicic acid (H4SiO4), tetraethyl ester, hydrolyzed		
79-21-0	Ethaneperoxoic acid	232259-02-8, 89370-71-8	
111-48-8	Ethanol, 2,2'-thiobis-		
62-54-4	Acetic acid, calcium salt (2:1)		
111-49-9	1H-Azepine, hexahydro-		
68603-00-9	Distillates (petroleum), thermal cracked naphtha and gas oil		
629-50-5	Tridecane		
1552-42-7	1(3H)-Isobenzofuranone, 6-(dimethylamino)-3,3-bis[4-(dimethylamino)phenyl]-	129652-58-0	
68815-67-8	Phenol, thiobis[tetrapropylene-		
3159-62-4	Octadecanoic acid, 12-hydroxy-, calcium salt (2:1)	2087-08-3	
68603-02-1	Distillates (petroleum), thermal cracked naphtha and gas oil, dimerized		
6358-85-6	Butanamide, 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(2,1-diazenediyl)]bis[3-oxo-N-phenyl-	127546-11-6, 142583-27-5, 1438404-83-1, 2284459-75-0, 82197-93-1, 82249-35-2, 912849-92-4, 97794-07-5	
104-91-6	Phenol, 4-nitroso-		
546-68-9	2-Propanol, titanium(4+) salt (4:1)	1004522-95-5, 1016644-08-8, 112797-74-7, 1149373-13-6, 118815-04-6, 119651-13-7, 1245903-59-6, 128796-34-9, 131530-94-4, 1352612-45-3, 147809-57-2, 167709-32-2, 176680-01-6, 186518-71-8, 187601-75-8, 195382-13-9, 198699-88-6, 210407-18-4, 2120427-28-1, 216859-04-0, 2408830-00-0, 244173-55-5, 2448474-28-8, 245654-31-3, 255839-65-7, 259264-35-2, 2758437-83-9, 2923581-56-8, 300564-30-1, 3075101-22-0, 310882-94-1, 347859-73-8, 3651-85-2, 366477-01-2, 408306-55-8, 50336-56-6, 505093-57-2, 518050-49-2, 71515-81-6, 73264-97-8, 917485-01-9, 918419-31-5, 94340-28-0	
79-22-1	Carbonochloridic acid, methyl ester		
68412-40-8	Pyridine, chloro derivs.		
126-86-3	5-Decyne-4,7-diol, 2,4,7,9-tetramethyl-	149079-55-0, 166737-17-3, 170006-53-8, 171023-04-4, 2414315-97-0, 37211-43-1, 504414-59-9, 61879-19-4, 8043-35-4, 845642-79-7, 867273-13-0, 872345-61-4	
68603-08-7	Naphtha (petroleum), arom.-contg.		
4553-62-2	Pentanedinitrile, 2-methyl-		
104-93-8	Benzene, 1-methoxy-4-methyl-	1071687-44-9	
111-55-7	1,2-Ethanediol, 1,2-diacetate		
629-59-4	Tetradecane		
25640-78-2	1,1'-Biphenyl, (1-methylethyl)-	26545-63-1, 68306-77-4	
68603-10-1	Hydrocarbon waxes (petroleum), oxidized, Me esters, barium salts		
629-62-9	Pentadecane		
126-92-1	Sulfuric acid, mono(2-ethylhexyl) ester, sodium salt (1:1)	11099-08-4, 37349-48-7, 75037-31-9	
62-56-6	Thiourea	1032826-45-1, 1429623-74-4, 1803177-22-1	
79-24-3	Ethane, nitro-		
33509-43-2	1,2,4-Triazin-5(2H)-one, 4-amino-6-(1,1-dimethylethyl)-3,4-dihydro-3-thioxo-		
69430-33-7	Hydrocarbons, C6-30		
9002-89-5	Ethenol, homopolymer	106442-33-5, 110736-47-5, 1159795-77-3, 118168-83-5, 1221137-85-4, 1251055-03-4, 1353578-76-3, 1360538-16-4, 1360617-28-2, 1379820-54-8, 1391975-95-3, 1417904-88-1, 1422717-36-9, 147827-36-9, 151439-02-0, 152987-51-4, 153569-70-1, 155421-52-6, 1613402-31-5, 162261-31-6, 1644530-73-3, 1655500-46-1, 172452-03-8, 176742-14-6, 1792997-17-1, 1808111-57-0, 1808111-60-5, 1874156-92-9, 2023788-67-0, 2031151-91-2, 2098429-20-8, 2114272-84-1, 2135434-57-8, 2159090-95-4, 2376875-28-2, 2417408-11-6, 2475286-77-0, 25038-51-1, 2629305-71-9, 2763551-16-0, 2991239-11-1, 3053134-77-0, 353276-42-3, 372077-13-9, 39320-29-1, 416899-99-5, 495413-85-9, 53241-16-0, 551960-18-0, 58740-50-4, 61584-38-1, 73298-53-0, 75923-48-7, 82428-08-8, 860310-93-6, 875587-23-8, 875587-24-9, 876939-32-1, 9014-14-6, 9050-53-7, 9066-05-1, 98002-48-3	
25646-71-3	Methanesulfonamide, N-[2-[(4-amino-3-methylphenyl)ethylamino]ethyl]-, sulfate (2:3)	161061-60-5	
3164-85-0	Hexanoic acid, 2-ethyl-, potassium salt (1:1)	3065115-02-5, 93357-97-2	
68603-12-3	Hydrocarbon waxes (petroleum), oxidized, Me esters, sodium salts		
95-14-7	1H-Benzotriazole	115773-98-3, 116421-31-9, 1334724-96-7, 152206-50-3, 197463-08-4, 25377-81-5, 27556-51-0, 28880-01-5, 70644-74-5, 83202-91-9, 94160-69-7	
69430-35-9	Hydrocarbons, C6-20, polymers, hydrogenated		
68603-11-2	Hydrocarbon waxes (petroleum), oxidized, Me esters, calcium salts		
4568-28-9	Octadecanoic acid, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)		
111-60-4	Octadecanoic acid, 2-hydroxyethyl ester	8034-25-1	
1559-34-8	3,6,9,12-Tetraoxahexadecan-1-ol		
105-05-5	Benzene, 1,4-diethyl-		
1558-33-4	Silane, dichloro(chloromethyl)methyl-	1081781-00-1	
68603-15-6	Alcohols, C6-12	12676-73-2	
629-73-2	1-Hexadecene	501012-99-3	
28324-52-9	Hydroperoxide, 2,6,6-trimethylbicyclo[3.1.1]heptyl		
68412-58-8	Phosphorodithioic acid, mixed hexyl and iso-Pr esters, zinc salts		
311-89-7	1-Butanamine, 1,1,2,2,3,3,4,4,4-nonafluoro-N,N-bis(1,1,2,2,3,3,4,4,4-nonafluorobutyl)-	1201928-35-9, 146175-90-8, 178463-15-5, 39289-23-1, 69072-86-2, 90803-72-8, 93792-84-8	
68511-92-2	9-Octadecenoic acid (9Z)-, reaction products with diethylenetriamine, cyclized, di-Et sulfate-quaternized	68478-80-8	
547-64-8	Propanoic acid, 2-hydroxy-, methyl ester	2155-30-8	
68603-17-8	Alcohols, C16-18, distn. residues		
105-08-8	1,4-Cyclohexanedimethanol		
629-76-5	1-Pentadecanol		
62-73-7	Phosphoric acid, 2,2-dichloroethenyl dimethyl ester	11095-17-3, 11096-21-2, 11111-31-2, 11111-44-7, 11126-72-0, 116788-91-1, 12772-40-6, 52-68-6, 55819-32-4, 62139-95-1, 62655-59-8, 8023-22-1, 8072-21-7, 8072-39-7, 8076-16-2, 95828-55-0	
68412-60-2	Phosphoric acid, mixed decyl and Et and octyl esters		
105859-97-0	Lignin, alkali, reaction products with disodium sulfite and formaldehyde		
79-31-2	Propanoic acid, 2-methyl-		
111-65-9	Octane	31372-91-5	
1560-69-6	Propanoic acid, cobalt(2+) salt (2:1)		
68603-19-0	Alcohols, C14-18, distn. residues		
105-12-4	Benzene, 1,4-dinitroso-		
126-99-8	1,3-Butadiene, 2-chloro-	184963-09-5	
68512-02-7	Benzene, (tetrapropenyl) derivs.		
68603-18-9	Alcohols, C10-16, distn. residues		
629-79-8	Hexadecanenitrile		
3173-53-3	Cyclohexane, isocyanato-		
95-29-4	2-Benzothiazolesulfenamide, N,N-bis(1-methylethyl)-		
550-44-7	1H-Isoindole-1,3(2H)-dione, 2-methyl-		
105-16-8	2-Propenoic acid, 2-methyl-, 2-(diethylamino)ethyl ester	138164-47-3, 1453489-91-2, 151768-83-1, 168066-58-8, 76398-99-7	
111-66-0	1-Octene	25377-83-7	
95-31-8	2-Benzothiazolesulfenamide, N-(1,1-dimethylethyl)-	1234495-49-8, 172451-95-5, 179095-45-5, 40860-78-4	
21729-98-6	Carbamic acid, N-cyano-, methyl ester		
28348-53-0	Benzenesulfonic acid, (1-methylethyl)-, sodium salt (1:1)	1137170-14-9	
127-08-2	Acetic acid, potassium salt (1:1)	134092-62-9, 2220181-25-7, 325477-95-0, 662141-29-9, 70896-03-6, 937811-15-9	
95-32-9	Benzothiazole, 2-(4-morpholinyldithio)-	1214747-86-0	
1562-00-1	Ethanesulfonic acid, 2-hydroxy-, sodium salt (1:1)	52117-27-8, 78858-24-9	
79-34-5	Ethane, 1,1,2,2-tetrachloro-		
6362-79-4	1,3-Benzenedicarboxylic acid, 5-sulfo-, sodium salt (1:1)	1159813-40-7, 1850352-57-6, 247088-05-7, 604786-63-2, 90021-69-5	
68603-33-8	Alkenes, C15-20 .alpha.-, polymers with cottonseed oil and sulfur		
105-30-6	1-Pentanol, 2-methyl-	17092-54-5	
68938-79-4	Benzoic acid, 3,6-dichloro-2-hydroxy-, potassium sodium salt (1:1:1)		
629-96-9	1-Eicosanol		
111-69-3	Hexanedinitrile	55462-97-0	
9003-08-1	1,3,5-Triazine-2,4,6-triamine, polymer with formaldehyde	1011528-34-9, 1037600-52-4, 103964-77-8, 1085765-81-6, 11111-89-0, 113170-09-5, 1132677-87-2, 1190289-71-4, 120798-28-9, 122462-78-6, 125023-23-6, 1263432-76-3, 12646-18-3, 12704-78-8, 12765-04-7, 1300090-85-0, 131360-90-2, 1314864-56-6, 1319719-63-5, 1354716-79-2, 1382467-61-9, 1388736-43-3, 1399841-70-3, 1399841-72-5, 1399841-74-7, 1413282-31-1, 1433964-52-3, 1434262-74-4, 1449125-57-8, 1449125-86-3, 1510823-88-7, 1574342-70-3, 1609006-24-7, 1612825-59-8, 162355-17-1, 1692910-42-1, 1807473-04-6, 2073104-53-5, 2098564-17-9, 2116501-51-8, 2220995-24-2, 2222418-46-2, 2230104-42-2, 2240117-06-8, 2242890-27-1, 2288727-88-6, 2368237-68-5, 2374152-31-3, 2395886-99-2, 2411806-01-2, 2413254-30-3, 2413551-99-0, 2459726-49-7, 2459839-84-8, 2460591-43-7, 2634760-65-7, 2761681-73-4, 2871697-24-2, 3004814-65-4, 3028938-63-5, 3038114-15-4, 3052600-45-7, 3060351-95-0, 431889-44-0, 50642-00-7, 51023-12-2, 51312-35-7, 51938-48-8, 51998-61-9, 53320-65-3, 53569-24-7, 53569-25-8, 53569-45-2, 53569-46-3, 53571-16-7, 53571-19-0, 53571-42-9, 53795-73-6, 54018-13-2, 54174-29-7, 54293-12-8, 54693-48-0, 54848-00-9, 54990-58-8, 55070-42-3, 55352-60-8, 55840-50-1, 56090-67-6, 56275-18-4, 56591-29-8, 56645-06-8, 56730-60-0, 56833-76-2, 56938-95-5, 56996-33-9, 57107-77-4, 57284-78-3, 57679-12-6, 57762-77-3, 58206-09-0, 58206-48-7, 58206-49-8, 58615-50-2, 58968-37-9, 58969-09-8, 59029-55-9, 59112-02-6, 59112-03-7, 59678-66-9, 59764-48-6, 59800-49-6, 59871-92-0, 59948-14-0, 60001-09-4, 60083-83-2, 60083-84-3, 60120-28-7, 60120-75-4, 60407-70-7, 60408-21-1, 60649-35-6, 60650-84-2, 60704-25-8, 60831-64-3, 60937-72-6, 60937-85-1, 61036-55-3, 61090-21-9, 62339-91-7, 62340-85-6, 62340-86-7, 62563-51-3, 62610-79-1, 62628-36-8, 62628-85-7, 62647-61-4, 64735-27-9, 66829-09-2, 877607-25-5, 880344-51-4, 9041-49-0, 9051-19-8, 9072-58-6, 936352-95-3, 94469-58-6, 94765-61-4, 94810-21-6, 95507-76-9, 97396-96-8	
52829-07-9	Decanedioic acid, 1,10-bis(2,2,6,6-tetramethyl-4-piperidinyl) ester	102267-60-7, 115621-65-3, 121449-00-1, 127510-03-6, 1444203-63-7, 149264-42-6, 152787-04-7, 2042214-43-5, 2757077-87-3, 2851989-89-2, 2935499-06-0, 331982-98-0, 64104-43-4, 908343-48-6, 91450-21-4	
95-33-0	2-Benzothiazolesulfenamide, N-cyclohexyl-	108251-59-8, 156014-54-9, 2087514-33-6, 51540-81-9, 75301-39-2, 929698-33-9	
68603-32-7	Alkenes, C15-20 .alpha.-, isomerized		
9003-11-6	Oxirane, 2-methyl-, polymer with oxirane	106717-66-2, 1087262-79-0, 1214718-60-1, 1220390-47-5, 124057-63-2, 125523-27-5, 12676-40-3, 12772-49-5, 1354714-46-7, 1359884-87-9, 138898-06-3, 1407593-02-5, 1426233-29-5, 1430143-53-5, 162627-00-1, 163032-64-2, 163063-49-8, 166738-09-6, 167267-50-7, 168018-54-0, 1700656-07-0, 170779-86-9, 172306-19-3, 1818351-41-5, 1851281-18-9, 186673-37-0, 1870006-85-1, 190735-22-9, 208342-25-0, 2087861-39-8, 209682-92-8, 2172821-14-4, 231627-80-8, 232598-91-3, 250780-00-8, 254903-86-1, 2708121-02-0, 2803445-11-4, 291775-89-8, 2981481-01-8, 3027530-98-6, 30600-73-8, 37211-19-1, 37211-20-4, 37211-21-5, 37211-22-6, 37211-23-7, 37211-24-8, 37221-18-4, 37265-39-7, 37307-38-3, 37331-16-1, 37331-17-2, 37341-81-4, 374624-82-5, 39277-80-0, 39316-56-8, 39316-57-9, 39364-13-1, 39387-54-7, 452069-47-5, 472960-66-0, 50643-24-8, 51312-31-3, 51569-27-8, 53637-72-2, 56730-46-2, 570369-25-4, 57219-38-2, 57571-70-7, 57971-91-2, 58968-65-3, 59494-33-6, 59794-22-8, 60328-61-2, 60407-69-4, 60976-75-2, 634588-40-2, 64940-96-1, 65187-10-2, 65380-70-3, 66746-25-6, 69070-95-7, 69256-70-8, 70213-25-1, 70644-95-0, 71343-56-1, 72319-37-0, 73158-62-0, 76050-76-5, 76364-46-0, 77448-18-1, 77752-09-1, 778599-53-4, 797786-13-1, 81180-56-5, 84931-05-5, 86249-84-5, 862582-70-5, 86304-35-0, 877037-78-0, 87912-55-8, 87912-56-9, 9003-12-7, 9009-02-3, 9009-03-4, 9009-04-5, 9009-05-6, 9009-06-7, 9010-49-5, 9010-97-3, 9015-66-1, 9050-44-6, 905305-59-1, 9061-69-2, 9067-43-0, 91858-59-2, 98932-37-7	
68938-80-7	Benzoic acid, 3,6-dichloro-2-hydroxy-, potassium salt (1:2)		
127-09-3	Acetic acid, sodium salt (1:1)	1613375-15-7, 2771312-07-1, 325477-99-4, 883902-29-2	
79-36-7	Acetyl chloride, 2,2-dichloro-		
1563-38-8	7-Benzofuranol, 2,3-dihydro-2,2-dimethyl-		
52836-31-4	Ethanone, 2,2-dichloro-1-(2,2,5-trimethyl-3-oxazolidinyl)-		
68512-26-5	Starch, 2-hydroxyethyl ether, base-hydrolyzed		
68938-81-8	Phenol, 2,5-dichloro-, potassium salt (1:1)	1429209-24-4	
68412-83-9	Sulfuric acid, mono-C8-30-alkyl esters, compds. with triethanolamine		
111-70-6	1-Heptanol		
68603-42-9	Amides, coco, N,N-bis(hydroxyethyl)	1132712-02-7, 118104-13-5, 12751-06-3, 1430328-98-5, 153189-69-6, 1591830-58-8, 186615-78-1, 53028-62-9, 56448-72-7, 56832-66-7, 63091-31-6, 66984-58-5, 67785-10-8, 67785-14-2, 71343-51-6, 71343-71-0, 8036-48-4, 8040-31-1, 8040-33-3, 83652-14-6, 87714-18-9, 90651-47-1	
68512-34-5	Lignosulfonic acid, sodium salt, sulfomethylated		
79-38-9	Ethene, 1-chloro-1,2,2-trifluoro-		
105-39-5	Acetic acid, 2-chloro-, ethyl ester		
111-71-7	Heptanal		
